lastName,firstName,title,streetNumber,region
Abbast,John,,27,ELS
Adams,Earl,,1,NW
Alexander,Benjamin,,2,NE
Allen,Ralph,,10,NW
Anderson,Edward,,9,NW
Andrews,Duane,,3,EC
Armitage,Henry,Professor,22,WC
Armstrong,Bennie,,31,WC
Arnold,Edmund,,15,WC
Arone,John,,12,WC
Ashley,Ferdinand C.,,21,WC
Austin,Forrest,,9,SE
Atwood,Howard,,24,WC
Bailey,Russell,,4,NW
Baker,Clarence,,15,NW
Baldwin,Wilbert,,6,SW
Ball,Leland,,10,SW
Banks,Edna,,2,SE
Barber,Lowell,,19,SW
Barker,Earl,,6,SW
Barnes,Calvin,,8,NE
Barnett,Donald,,13,SE
Barret,James,,6,SE
Bates,Joseph,,9,SE
Beck,Harry,,12,SE
Bell,Leo,,5,NW
Bennett,Theodore,,9,NE
Benson,Herbert,,12,SW
Berry,Matthew,,2,EC
Bishop,Lonnie,,7,SE
Black,Nicholas,,18,WC
Blair,Emil,,22,SW
Blayne,Horvath,,14,NE
Bowen,Enoch,,31,ELS
Bowen,Nathaniel,,13,SW
Bowman,Lillian,,6,SE
Brewer,Gladys,,12,SE
Brooks,Frederick,,8,NE
Brown,Gilbert,,9,NE
Brown,Robert,,18,SW
Brown,William,,4,NW
Burke,Emil,,22,EC
Burns,Manuel,,3,NE
Burton,Anna,,8,SE
Bush,Clayton,,24,SW
Butler,Glenn,,7,NE
Byrd,Kenneth,,8,SE
Caldwell,Thomas,,14,SE
Calvert,Albert F.,,1,WC
Campbell,Joe,,4,NW
Carlson,Alton,,18,EC
Carpenter,Jay,,9,SE
Carr,Nelson,,8,SE
Carroll,Mike,,28,WC
Carter,Herbert,,7,NW
Carter,Randolph,,7,SW
Chambers,Paul,,3,SE
Chandler,Dewey,,20,SW
Chapman,Nathaniel,,9,SE
Chen,Shirley,,12,SE
Clark,Kenneth,,4,NW
Cohen,Howard,,1,SW
Cole,Allen,,6,NE
Coleman,Lee,,11,NE
Collins,Stanley,,12,NW
Cook,Billy,,13,NW
Cooper,Michael,,2,NW
Corallo,Dario,,9,SE
Cox,Peter,,4,NE
Craig,Raymond,,4,SE
Crawford,Rose,,21,EC
Cross,Antonio,,23,SW
Cummings,Ervin,,15,SW
Cunningham,Archie,,24,WC
Curry,Max,,5,SE
Curtis,Norma,,3,SE
Danforth,Phillips,,6,WC
Daniel,Larry,,21,SW
Daniels,Julius,,8,WC
Davidson,Louise,,7,SE
Davis,Joseph,,7,NW
Dawson,Matthew,,2,SW
Day,Ruby,,9,SE
Dean,Doris,,3,SE
Dennis,Elbert,,25,SW
Derby,Edward Pickman,,29,SW
Dewart,Ambrose,,8,SW
Dexter,Ambrose,,20,EC
Dixon,Hugh,,13,WC
Douglas,John,,5,SE
Doyle,Forrest,,31,SW
Duncan,Clifton,,30,WC
Dunn,Jim,,13,WC
Dyer,William,,15,WC
Edwards,Norman,,13,NW
Ellery,Howard,,17,WC
Elliott,Otis,,24,WC
Ellis,Edgar,,10,NE
Emerson,Arthur,,10,SE
Erickson,Mike,,29,SW
Evans,Brendan,,17,SW
Farrel,Walter,,6,SE
Ferry,Joachim,,31,SW
Ferguson,Patrick,,30,WC
Fields,Florence,,2,SE
Fillman,Max,,15,NE
Fisher,Martin,,9,NE
Fitzgerald,Nelson,,29,SW
Fleming,Eugene,,13,NE
Fletcher,Jacob,,29,SW
Ford,Jerry,,13,NE
Foster,Alvin,,16,NE
Fowler,Rose,,5,SE
Fox,Franklin,,24,WC
Franklin,Alin,,5,SE
Frazier,Dorothy,,13,EC
Freeborn,M. Tyler,,16,WC
Freeman,Woodrow,,9,SW
Fuller,Marie,,9,SE
Gardner,Oliver,,10,WC
Garret,Elizabeth,,6,SE
George,Dewey,,20,EC
Gibson,Willard,,8,NE
Gilbert,Mary,,9,SE
Gilman,Walter,,11,SW
Goodman,Isaac,,2,NW
Gordon,Jose,,10,WC
Graham,Roger,,17,NE
Grant,Delbert,,20,WC
Graves,Gerald,,19,SW
Gray,Clifford,,10,NE
Green,Alycia,,1,SW
Green,Yvette,,1,SE
Greene,Larry,,9,SE
Gregory,Arthur,,9,SE
Gresham,Everett,,5,SE
Griffin,Ronald,,4,NE
Griffith,Ira,,12,SW
Gross,Allan,,28,SW
